店铺名称,是否连锁,有无团购套餐,总评分,评论数,人均价格,口味评分,环境评分,服务评分,区域,分类,详细地址,纬度,经度,营业时间,推荐菜,评论摘要,shop_id,link,name_list_page,主营品类
KOI Thé(上海花木时光里店),连锁,有团购,4.1,258,23,4,4.1,4,塘桥,茶饮果汁,中国(上海)自由贸易试验区杨高南路99弄1号L1层106b商铺,31.37407778,121.5722448,10:00-22:00,"黄金珍奶, PEANUTS联名饼干奶茶, 浆果乳酪奶绿",,H23x3VF8c4xTS0G4,https://www.dianping.com/shop/H23x3VF8c4xTS0G4,KOI Thé(上海花木时光里店),奶茶
OT另茶(新天地店),连锁,有团购,4.2,1066,23,4.2,4.4,4.1,淮海路,茶饮果汁,淮海中路333号新天地广场地下二层21室,31.22844466,121.4806254,10:00-21:30,"雪域咸奶茶, 泰式咸奶酪, 泰式冰茶",,l17AgywN6RETDiD6,https://www.dianping.com/shop/l17AgywN6RETDiD6,OT另茶(新天地店),奶茶
阿嬷手作(上海国金中心店),连锁,有团购,4.1,2677,29,4.3,4.4,4.1,陆家嘴,茶饮果汁,陆家嘴国金中心商场LG2-56,31.24184835,121.5089927,14,"打·米麻薯, 斯里兰卡奶茶, 老椰清补凉",,l31cXToVtjm5vkQr,https://www.dianping.com/shop/l31cXToVtjm5vkQr,阿嬷手作(上海国金中心店),奶茶
KOI Thé(上海龙华会店),连锁,有团购,4.2,1033,22,4.2,4.4,4.5,龙华/西岸,茶饮果汁,"龙华路2778号龙华会B2（龙华地铁站2号口步行50米,麦当劳正对面）",31.17932266,121.4596995,09:30-22:00,"黄金珍奶, 饼干奶茶(原创）, 酒酿桂花黃金珍奶",,k4Khy9kaZ2ldWUHe,https://www.dianping.com/shop/k4Khy9kaZ2ldWUHe,KOI Thé(上海龙华会店),奶茶
THE MATCHA TOKYO今抹京茶(国金店),连锁,有团购,4.1,2332,38,4.1,4.2,4.1,陆家嘴,茶饮果汁,"陆家嘴街道世纪大道8号IFC国金中心商场LG1-2（东三门,电影院旁边）",31.24184835,121.5089927,08:30-22:00,"抹茶冰淇淋, 抹茶拿铁, 抹茶软冰淇淋",,G6y0ak3v9AU34pvh,https://www.dianping.com/shop/G6y0ak3v9AU34pvh,THE MATCHA TOKYO今抹京茶(国金店),甜品/小吃
KOI Thé(传媒港花园里店),连锁,有团购,4.5,494,22,4.6,4.4,4.5,龙华/西岸,茶饮果汁,龙爱路58号地下一层的B1-E-10-01商铺(龙耀路,,,13,"黄金珍奶, PEANUTS联名饼干奶茶, 浆果乳酪奶绿",,FAz3VyxAKU4f3rhQ,https://www.dianping.com/shop/FAz3VyxAKU4f3rhQ,KOI Thé(传媒港花园里店),奶茶
KOI Thé(徐汇万科广场店),连锁,有团购,4.3,546,22,4.1,4.3,4.2,上海南站,茶饮果汁,沪闵路9233号一层T3-L1-02b室,,,09:30-22:00,"黄金珍奶, PEANUTS联名饼干奶茶, 芋圓紅茶拿鐵",,H3FzddzHPoIhiSkQ,https://www.dianping.com/shop/H3FzddzHPoIhiSkQ,KOI Thé(徐汇万科广场店),奶茶
KOI Thé(虹桥国际机场店),连锁,有团购,4.3,441,21,4.5,4.3,4.3,虹桥枢纽,茶饮果汁,华漕镇虹桥机场2号航站楼东交通中心DF304(东交),31.20092434,121.3339742,14,"黄金珍奶, PEANUTS联名饼干奶茶, 浆果乳酪奶绿",,laUuEFTPcHSghhCj,https://www.dianping.com/shop/laUuEFTPcHSghhCj,KOI Thé(虹桥国际机场店),奶茶
KOI Thé(上海虹桥天地店),连锁,有团购,4.4,862,23,4.4,4.4,4.3,虹桥枢纽,茶饮果汁,申长路688号6层L6-06室,,,10:00-22:00,"黄金珍奶, 饼干奶茶(原创）, 浆果乳酪果茶",,kaePr0BRP7haoZw8,https://www.dianping.com/shop/kaePr0BRP7haoZw8,KOI Thé(上海虹桥天地店),奶茶
KOI Thé(天空万科广场店),连锁,有团购,4.2,756,22,4.2,4.2,4.1,国家会展中心,茶饮果汁,崧泽大道2229弄66号上海天空万科广场L3-40商铺,31.18256629,121.2596383,10:00-22:00,"黄金珍奶, PEANUTS联名饼干奶茶, 浆果乳酪奶绿",,kaGdb1c2tZjWKbEf,https://www.dianping.com/shop/kaGdb1c2tZjWKbEf,KOI Thé(天空万科广场店),奶茶
