shop_id,店铺名,店铺链接,总评分,评论数,人均价格,口味评分,环境评分,服务评分,分类,区域,详细地址,纬度,经度,营业时间,是否连锁,有无团购套餐,推荐菜,主营品类
H9R5zpyXvEJdHrh9,蜜雪冰城(四元桥店),https://www.dianping.com/shop/H9R5zpyXvEJdHrh9,3.5,34,11,3.6,3.5,3.5,茶饮果汁,望京,宜居南路2号楼四元桥购物中心二楼电梯口,39.98454674,116.4680308,09:30-21:00,连锁,有团购,"蜜桃四季春, 奥利奥雪王大圣代, 山楂莓莓",甜品/小吃
jV3qrRXzdUByPdJX,茶百道(北京新辰天地大兴南区店),https://www.dianping.com/shop/jV3qrRXzdUByPdJX,3.9,112,17,4.1,4.1,4.0,茶饮果汁,黄村,黄村镇清澄名苑北区27号楼-B1层-1026,39.74437638,116.3349035,10:00-22:00,连锁,有团购,"草莓奶冻, 鲜奶茉莉奶绿, 青提茉莉",奶茶
k10M9wuMRlE2iK9F,茉莉奶白(北京城乡购物中心店),https://www.dianping.com/shop/k10M9wuMRlE2iK9F,4.0,192,19,4.0,4.1,4.1,茶饮果汁,公主坟/万寿路,复兴路甲23号北京城乡购物中心1-62-层1-20,39.914819,116.314179,09:00-20:30,连锁,有团购,"茉莉奶白, 一朵茉莉花, 白兰",奶茶
jw3zbMO359XSrBuD,CHAGEE霸王茶姬(北京密云万象汇店),https://www.dianping.com/shop/jw3zbMO359XSrBuD,3.7,781,19,3.7,3.7,3.7,茶饮果汁,密云县县城,滨河路178号密云万象汇一层L144A,40.39347087,116.8494764,10:00-21:30,连锁,有团购,"山野栀子, 花田乌龙, 春日桃桃",纯茶
jru6Fkyej1pHUQNV,沪上阿姨·精选茶饮(首开通州万象汇店),https://www.dianping.com/shop/jru6Fkyej1pHUQNV,4.1,709,16,4.1,4.1,4.1,茶饮果汁,通州区,运河东大街51号6层L602b,39.910568,116.740796,10:00-22:00,连锁,有团购,"仙仙青提柠檬（大）, 厚芋泥波波奶茶, 茉莉奶绿",奶茶
jbA9InTw5m1Fo2Q9,茉莉奶白(北京平谷万达广场店),https://www.dianping.com/shop/jbA9InTw5m1Fo2Q9,3.8,514,18,3.7,3.8,3.7,茶饮果汁,平谷城区,万达广场一层1号门门口外铺必胜客隔壁,39.91207909,116.231898,10:00-22:00,连锁,有团购,"茉莉奶白, 栀子奶白, 一朵茉莉花",奶茶
jXCbxK4h4PQGdHij,爷爷不泡茶 NOYEYENOTEA(北京通州源·心店),https://www.dianping.com/shop/jXCbxK4h4PQGdHij,4.4,607,17,4.4,4.5,4.4,茶饮果汁,通州区,上码头路D.P.One源心负1层067号,39.886229,116.72129,09:30-21:30,连锁,有团购,"荔枝冰酿, 咸宁桂花, 桃桃双皮奶",其他
k2Xtx9u2HdwwOcpV,茉莉奶白(北京通州万达店),https://www.dianping.com/shop/jV5vLaVaCHyJxklP,3.9,736,19,3.9,4.0,3.9,茶饮果汁,通州北苑,新华西街58号院1号楼4层407-4022,39.913366,116.653351,10:00-22:00,连锁,有团购,"茉莉奶白, 栀子奶白, 一朵茉莉花",奶茶
jPFglVpmkzUJrsHO,茉莉奶白(北京望京新世界店),https://www.dianping.com/shop/jPFglVpmkzUJrsHO,4.2,234,18,4.2,4.2,4.2,茶饮果汁,望京,广顺南大街16号望京新世界百货一层L01F-094号,39.98957921,116.4878528,10:00-21:30,连锁,有团购,"茉莉奶白, 栀子奶白, 一朵茉莉花",奶茶
Haiqv1WI4aKhChNJ,喜茶(北京斯普瑞斯奥特莱斯店),https://www.dianping.com/shop/Haiqv1WI4aKhChNJ,4.0,547,19,4.0,4.1,4.0,茶饮果汁,金盏,森林公园东1号斯普瑞斯奥特莱斯A区1层A-67,40.01553214,116.6027204,10:00-22:00,连锁,有团购,"烤黑糖波波牛乳（首创）, 椰椰芒芒, 多肉葡萄（首创）",奶茶
j3yY9JhqKy2lDtMe,蜜雪冰城(城关店),https://www.dianping.com/shop/j3yY9JhqKy2lDtMe,3.4,19,7,3.5,3.6,3.4,茶饮果汁,城关街道,城关街道城关南路6号16号1层113,39.699746,115.991517,09:30-22:00,连锁,有团购,"脆皮大圣代, 山楂酸奶, 奥利奥雪王大圣代",甜品/小吃
j3fOyIE3Cow6nVXl,喜茶(北京海淀大悦城店),https://www.dianping.com/shop/j3fOyIE3Cow6nVXl,3.7,631,19,3.8,3.8,3.7,茶饮果汁,上庄,大牛房二巷海淀大悦城一层1F-06,40.01925572,116.3260603,10:00-22:00,连锁,有团购,"多肉葡萄(首创), 去火*纤体瓶(首创), 烤黑糖波波牛乳(首创)",奶茶
k2Xtx9u2HdwwOcpV,茶百道(北京房山星城店),https://www.dianping.com/shop/inAONYNspbx08IBH,3.8,38,13,3.8,3.9,3.7,茶饮果汁,阎村镇,阎村镇大董村南,39.72119366,116.0705993,10:00-23:00,连锁,有团购,"草莓爆柠, 浓抹米乳青团, 羽衣甘蓝·轻畅杯（轻盈版）",其他
k2Xtx9u2HdwwOcpV,喜茶(北京通州万象汇店),https://www.dianping.com/shop/iOfosevDHQxpWVvc,4.0,314,18,4.2,4.1,4.0,茶饮果汁,通州区,运河东大街51号L125号,39.912196,116.649183,10:00-22:00,连锁,有团购,"多肉葡萄(首创), 烤黑糖波波牛乳(首创), 芒芒甘露(首创)",奶茶
iLIByfmWec8lbLFA,KOI Thé(北京中关村大融城茶手作店),https://www.dianping.com/shop/iLIByfmWec8lbLFA,3.7,171,24,3.9,3.9,3.8,茶饮果汁,中关村,中关村大街15号西区3号门LG1-02（k22对面）,39.986261,116.321338,10:00-22:00,连锁,有团购,"黄金珍奶, 饼干奶茶, 葡萄乳酪奶绿",奶茶
k2Xtx9u2HdwwOcpV,Uniboba优尼波巴(北京海淀新中关购物中心店),https://www.dianping.com/shop/k1M0219tBQCGlGUd,4.1,79,18,4.1,4.1,4.2,茶饮果汁,中关村,海淀街道中关村大街19号(近丹棱街)新中关大厦地下B1层B150号,39.98423784,116.3219088,10:00-22:00,连锁,有团购,"Boba奶茶黑糖丸, 抹茶牛乳黑糖丸, 抹茶牛乳咸法酪",奶茶
k1Q7hKq3aS4kzurm,introlemons(北京朝阳合生汇店),https://www.dianping.com/shop/k1Q7hKq3aS4kzurm,4.5,293,24,4.5,4.5,4.5,茶饮果汁,九龙山,西大望路合生汇L1层HARMAY美妆店内,39.89988132,116.4859291,10:00-21:30,连锁,有团购,"话梅特调柠檬茶, 原谅绿茶, 马黛特调柠檬茶",果茶
k1eCWqRODnM4Hhlf,茶百道(平谷万达广场店),https://www.dianping.com/shop/k1eCWqRODnM4Hhlf,3.9,63,18,3.9,3.9,3.9,茶饮果汁,平谷城区,渔阳地区万达广场3F层3035号商铺,39.91207909,116.231898,10:00-22:00,连锁,有团购,"青提茉莉, 轻畅羽衣甘蓝, 洛神梅子柠檬茶",果茶
k2Xtx9u2HdwwOcpV,茉莉奶白(北京五棵松万达店),https://www.dianping.com/shop/k24dSPa0qgWNhBAa,4.0,1192,20,4.0,4.1,4.0,茶饮果汁,五棵松,复兴路69号3号楼万达广场5层5003b号,39.91207909,116.231898,10:00-22:00,连锁,有团购,"茉莉奶白, 一朵茉莉花, 栀子奶白",奶茶
k24jt8jqmc0GBKg5,蜜雪冰城(欢乐谷店),https://www.dianping.com/shop/k24jt8jqmc0GBKg5,4.0,69,8,3.9,3.9,3.9,茶饮果汁,北京欢乐谷,金蝉西路弯里中心西街一层（欢乐谷景区正门对面）,39.873927,116.500997,10:30-23:30,连锁,有团购,"奥利奥雪王大圣代, 厚芋泥奶茶, 蜜桃四季春",奶茶
